DataEscrituração;Código;Nome Produto;Número;CFOP;Unid.;Qtd.;Descontos;Valor Total Item;Valor Frete;Mod.;Cód. Forn/Cliente;Nome Forn/Cliente;Valor Unitário;Item Cancelado;Nota Cancelada;Cidade Forn/Cliente;UF Forn/Cliente;Quantidade Base;Total COFINS;Total PIS
09/01/2023;402;BATOM VERMELHO CLARO 7G;000005798;7101;UN;2,0;0,00;198,1;32,82;55;0101;Cliente : 0101;99,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
09/01/2023;418;SABONETE ESFOLIANTE 200ML;000005798;7101;UN;2,0;0,00;80,3;13,30;55;0101;Cliente : 0101;40,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
09/01/2023;405;BATOM ROSA ESCURO 7G;000005798;7101;UN;2,0;0,00;198,1;32,82;55;0101;Cliente : 0101;99,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
09/01/2023;403;BATOM MATE 7G;000005798;7101;UN;2,0;0,00;198,1;32,82;55;0101;Cliente : 0101;99,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
10/01/2023;404;BATOM ROSA CLARO 7G;000005799;7101;UN;2,0;0,00;196,6;55,44;55;0135;Cliente : 0135;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
10/01/2023;406;BATOM VERMELHO ESCURO 7G;000005799;7101;UN;2,0;0,00;196,6;55,44;55;0135;Cliente : 0135;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;418;SABONETE ESFOLIANTE 200ML;000005800;7101;UN;3,0;0,00;23,7;13,11;55;0088;Cliente : 0088;7,9;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;404;BATOM ROSA CLARO 7G;000005800;7101;UN;6,0;0,00;117,0;64,71;55;0088;Cliente : 0088;19,5;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;402;BATOM VERMELHO CLARO 7G;000005800;7101;UN;3,0;0,00;58,5;32,35;55;0088;Cliente : 0088;19,5;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;418;SABONETE ESFOLIANTE 200ML;000005801;7101;UN;2,0;0,00;78,7;9,05;55;0109;Cliente : 0109;39,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;405;BATOM ROSA ESCURO 7G;000005801;7101;UN;3,0;0,00;291,3;33,50;55;0109;Cliente : 0109;97,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;402;BATOM VERMELHO CLARO 7G;000005801;7101;UN;3,0;0,00;291,3;33,50;55;0109;Cliente : 0109;97,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;406;BATOM VERMELHO ESCURO 7G;000005801;7101;UN;1,0;0,00;97,1;11,17;55;0109;Cliente : 0109;97,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;403;BATOM MATE 7G;000005801;7101;UN;2,0;0,00;194,2;22,34;55;0109;Cliente : 0109;97,1;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;417;CREME FIXADOR 30 ML;000005802;7101;UN;1,0;0,00;39,8;2,20;55;0030;Cliente : 0030;39,8;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;405;BATOM ROSA ESCURO 7G;000005802;7101;UN;10,0;0,00;982,8;54,34;55;0030;Cliente : 0030;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;402;BATOM VERMELHO CLARO 7G;000005802;7101;UN;10,0;0,00;982,8;54,34;55;0030;Cliente : 0030;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;404;BATOM ROSA CLARO 7G;000005803;7101;UN;1,0;7,85;98,3;22,17;55;0065;Cliente : 0065;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;405;BATOM ROSA ESCURO 7G;000005803;7101;UN;1,0;7,84;98,3;22,18;55;0065;Cliente : 0065;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;402;BATOM VERMELHO CLARO 7G;000005803;7101;UN;1,0;7,84;98,3;22,18;55;0065;Cliente : 0065;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;406;BATOM VERMELHO ESCURO 7G;000005803;7101;UN;1,0;7,84;98,3;22,18;55;0065;Cliente : 0065;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;403;BATOM MATE 7G;000005803;7101;UN;1,0;7,84;98,3;22,17;55;0065;Cliente : 0065;98,3;Não;Não;EXTERIOR;EX;0;0,00;0,00
12/01/2023;413;PORTA BATOM 1UND;000005804;5101;UN;48,0;0,00;619,2;0,00;55;0028;Cliente : 0028;12,9;Não;Não;IGARAPE;MG;0;15,23;3,30
12/01/2023;403;BATOM MATE 7G;000005804;5401;UN;840,0;0,00;6300,0;0,00;55;0028;Cliente : 0028;7,5;Não;Não;IGARAPE;MG;0;486,68;103,95
